total_debt_value,current_outstanding_balance,percent_paid_amount,num_distinct_debts,total_multa_value,total_ressarcimento_value,has_ever_been_protested,protest_paid_amount,pge_paid_amount,num_installments,num_cancelled_installments,num_reopened_installments,age_oldest_decision,difference_in_years_decisions
33809.59,33809.59,0.0,1,0.0,33809.59,0,0,0.0,0,0,0,17.0,0.0
1800.0,-36.72000000000003,1.0204,1,1800.0,0.0,0,0,0.0,0,0,0,10.0,0.0
10000.0,10000.0,0.0,1,10000.0,0.0,0,0,0.0,4,0,0,0.0,0.0
716.0928,104.09280000000001,0.854637834649364,5,716.0927999999999,0.0,0,0,0.0,0,0,0,13.0,2.0
5000.0,-539.16,1.107832,3,5000.0,0.0,1,9,0.0,0,0,0,10.0,2.0
7701.81,7701.81,0.0,1,7701.81,0.0,0,0,0.0,0,0,0,5.0,0.0
69541.5,69541.5,0.0,1,69541.5,0.0,1,0,0.0,0,0,0,8.0,0.0
1045.0062,-118.30379999999997,1.1132087063215508,13,1045.0062,0.0,0,0,0.0,0,0,0,13.0,7.0
4835.117,-1844.7130000000002,1.3815239631222986,5,4216.2,618.917,0,0,0.0,0,0,0,15.0,13.0
363520.0,363520.0,0.0,1,363520.0,0.0,0,0,0.0,0,0,0,13.0,0.0
75000.0,75000.0,0.0,1,0.0,75000.0,0,0,0.0,0,0,0,6.0,0.0
554.0,554.0,0.0,1,0.0,554.0,0,0,0.0,0,0,0,13.0,0.0
92533.414,92533.414,0.0,8,64662.674,27870.739999999998,1,0,0.0,0,0,0,10.0,2.0
43284.409999999996,25106.56,0.4199629843631922,4,43284.409999999996,0.0,1,0,1263.24,15,15,10,5.0,0.0
49500.0,49500.0,0.0,2,4500.0,45000.0,0,0,0.0,0,0,0,3.0,0.0
1572016.0536,1412449.5936,0.10150434509532162,87,1381021.0336,190995.02,0,0,0.0,50,25,25,13.0,1.0
43284.0,43284.0,0.0,2,43284.0,0.0,1,0,0.0,0,0,0,11.0,5.0
63259.99,59811.71,0.054509651360994525,6,17472.39,45787.6,0,0,0.0,0,0,0,9.0,5.0
434.1246,434.1246,0.0,2,434.1246,0.0,0,0,0.0,0,0,0,14.0,0.0
