total_debt_value,avg_parcel_value,max_debt_value,total_fines_only,total_ressarcimento_only,has_daily_fine,total_paid_amount,percent_paid_amount,n_installments,n_broken_installments,n_reopened_installments,perc_broken_installments,perc_failed_installments,is_civil_servant,n_processos,n_transitado_em_julgado,n_protests,n_failed_protests,perc_failed_protests,n_pge_handovers
33809.59,,33809.59,0.0,33809.59,0,0.0,0.0,0,0,0,0.0,0.0,0,1,1,0,0,0.0,0
1800.0,600.0,600.0,1800.0,0.0,0,1836.72,1.0204,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0
10000.0,781.2475000000001,2500.0,10000.0,0.0,0,0.0,0.0,1,0,0,0.0,0.0,1,1,4,0,0,0.0,0
716.0928,55.0,110.0,716.0927999999999,0.0,0,612.0,0.8546378346493638,0,0,0,0.0,0.0,0,4,14,0,0,0.0,0
5000.0,500.0,500.0,5000.0,0.0,0,5539.16,1.107832,0,0,0,0.0,0.0,0,3,10,2,0,0.0,0
7701.81,,7701.81,7701.81,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0
69541.5,6954.15,6954.15,69541.5,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,1,10,1,0,0.0,0
1045.0062,52.10526315789474,55.0,1045.0062,0.0,0,1163.31,1.113208706321551,0,0,0,0.0,0.0,0,12,20,0,0,0.0,0
4835.117,502.7,1200.0,4216.2,618.917,0,6679.83,1.3815239631222986,0,0,0,0.0,0.0,0,3,5,0,0,0.0,0
363520.0,90880.0,90880.0,363520.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,1,4,0,0,0.0,0
75000.0,,15000.0,0.0,75000.0,0,0.0,0.0,0,0,0,0.0,0.0,0,1,5,0,0,0.0,0
554.0,,554.0,0.0,554.0,0,0.0,0.0,0,0,0,0.0,0.0,0,1,1,0,0,0.0,0
92533.414,7404.117499999999,17830.8,64662.674,27870.739999999998,0,0.0,0.0,0,0,0,0.0,0.0,0,4,13,3,0,0.0,3
43284.409999999996,790.7273333333334,3080.72,43284.409999999996,0.0,0,18177.850000000002,0.4199629843631923,2,15,10,7.5,12.5,0,1,17,1,0,0.0,1
49500.0,4500.0,45000.0,4500.0,45000.0,0,0.0,0.0,0,0,0,0.0,0.0,0,1,2,0,0,0.0,0
1572016.0536,8076.769638554217,95497.51,1381021.0336,190995.02,0,159566.46,0.10150434509532161,2,25,25,12.5,25.0,0,4,166,0,0,0.0,0
43284.0,11761.333333333334,19284.0,43284.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,2,4,1,0,0.0,2
63259.99,1450.0,45787.6,17472.39,45787.6,0,3448.2799999999997,0.054509651360994525,0,0,0,0.0,0.0,0,3,4,0,0,0.0,0
434.1246,,400.0,434.1246,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,1,2,0,0,0.0,0
233132.006,2512.7783875,8200.0,233132.006,0.0,0,25668.416,0.11010249703766543,6,33,8,5.5,6.833333333333333,0,2,35,1,8,8.0,1
60531.33,20177.11,20177.11,60531.33,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,1,3,1,0,0.0,1
101631.09999999999,1041.3111428571428,4816.44,101631.1,0.0,0,73255.47,0.720797767612473,5,23,15,4.6,7.6,1,5,38,1,0,0.0,0
386304.0,19650.4,39956.0,386304.0,0.0,0,13339.599999999999,0.0345313535453943,0,0,0,0.0,0.0,0,5,18,2,0,0.0,2
5071.3,,4645.66,425.64,4645.66,0,0.0,0.0,0,0,0,0.0,0.0,0,1,2,0,0,0.0,0
700751.36,4434.263766666667,46850.0,700751.36,0.0,0,24862.48,0.03547974562618045,5,78,0,15.6,15.6,0,6,91,3,0,0.0,4
47348.0,5913.257142857144,17592.0,47348.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,4,6,2,0,0.0,2
65656.4536,1624.0157142857145,3000.0,65656.45360000002,0.0,0,4201.33,0.06398959690384497,0,0,0,0.0,0.0,0,8,77,4,0,0.0,2
745143.6852,,14320.0,745143.6852000002,0.0,0,36712.79,0.04926941035559621,0,0,0,0.0,0.0,0,2,91,0,0,0.0,0
762171.5996,17437.013333333332,100000.0,651069.6496000001,111101.95,0,1036.68,0.0013601661365289215,0,0,0,0.0,0.0,0,16,46,6,0,0.0,4
45377.18,3707.242222222222,8512.0,45377.18000000001,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,4,16,3,0,0.0,3
781187.7162,2709.507619047619,144709.23,126258.28619999999,654929.43,0,1829.3,0.002341690687224864,0,0,0,0.0,0.0,0,14,53,8,0,0.0,10
299281.5183,10215.951764705882,52372.27,275240.2483,24041.27,0,6381.61,0.02132310085918192,1,4,0,4.0,4.0,0,7,24,1,0,0.0,2
39319.6,565.208,1965.98,39319.60000000001,0.0,0,5055.0,0.12856183684472886,2,0,0,0.0,0.0,1,1,0,0,0,0.0,0
6300.0,3150.0,4600.0,6300.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,2,1,0,0,0.0,0
2000.0,1000.0,1000.0,2000.0,0.0,0,2007.0,1.0035,0,0,0,0.0,0.0,0,1,2,0,0,0.0,0
1771672.8474,8156.252842105263,23212.0,1771672.8473999999,0.0,0,610675.92,0.34468887463968934,6,91,26,15.166666666666666,19.5,0,3,97,1,0,0.0,0
191695.4653,5057.435,14378.26,177317.2053,14378.26,0,10516.79,0.05486196548020273,0,0,0,0.0,0.0,0,2,48,1,0,0.0,0
18450.0,6150.0,6150.0,18450.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,1,3,1,0,0.0,1
632641.76,8207.281818181818,41514.0,632641.76,0.0,0,17384.75,0.027479611842253348,2,0,0,0.0,0.0,1,6,14,1,11,11.0,0
1073342.63,9633.988888888889,957762.73,115579.9,957762.73,0,0.0,0.0,0,0,0,0.0,0.0,0,8,17,2,0,0.0,2
2991.66,,1830.0,0.0,2991.6599999999994,0,0.0,0.0,0,0,0,0.0,0.0,0,3,5,0,0,0.0,0
730858.796,11280.461538461539,27448.0,730858.7960000001,0.0,0,2558.01,0.0035000057658196404,0,0,0,0.0,0.0,1,3,33,0,0,0.0,0
5000.0,5000.0,5000.0,5000.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,1,1,0,0,0.0,0
258822.3275,1783.5755000000001,18513.95,153595.77750000003,105226.55000000002,0,10701.72,0.0413477465540526,1,18,18,18.0,36.0,0,8,45,2,0,0.0,1
207806.6096,6287.571818181819,22500.0,205639.0896,2167.52,0,6092.650000000001,0.02931884607389312,1,3,0,3.0,3.0,0,7,27,3,8,2.6666666666666665,0
185.29,185.29,185.29,185.29,0.0,0,185.44,1.0008095417993417,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0
291322.1961,18553.0,58250.0,279330.0261,11992.17,0,19332.0,0.06635951622911715,0,0,0,0.0,0.0,0,6,15,4,0,0.0,0
188589.09,2374.7402777777775,16000.0,188589.09,0.0,0,171543.83000000002,0.9096169348926814,2,23,23,11.5,23.0,0,1,36,0,0,0.0,0
6100.0,3050.0,5000.0,6100.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,1,2,0,0,0,0.0,0
404602.9163,31618.63333333333,41600.0,398543.91630000004,6059.0,0,28860.5,0.07133043000263714,0,0,0,0.0,0.0,0,7,56,1,0,0.0,1
97803.21,9960.0,12617.85,85185.36,12617.85,0,0.0,0.0,0,0,0,0.0,0.0,0,4,13,2,0,0.0,1
27429.6314,477.46776666666665,11100.0,19871.2998,7558.3315999999995,0,7268.12,0.2649733018286203,0,0,0,0.0,0.0,0,4,18,2,0,0.0,0
394361.1753,1300.0,10852.0,393242.9153,1118.26,0,14817.5,0.03757342489084523,0,0,0,0.0,0.0,0,2,69,0,0,0.0,0
300.0,300.0,300.0,300.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0
99948.0,9494.8,14864.0,99948.0,0.0,0,26492.86,0.2650664345459639,1,3,0,3.0,3.0,0,3,10,0,0,0.0,0
1786140.46,6664.42,615406.94,266461.17,1519679.29,0,0.0,0.0,0,0,0,0.0,0.0,0,15,33,0,0,0.0,0
258620.0,7729.818181818182,24600.0,258620.0,0.0,0,3046.3,0.011779058077488207,0,0,0,0.0,0.0,1,7,34,8,5,0.625,4
78382.0,8906.857142857143,12260.0,78382.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,4,6,1,0,0.0,1
24200.0,380.0,1100.0,24200.0,0.0,0,4985.86,0.20602727272727273,1,0,0,0.0,0.0,1,1,22,0,0,0.0,0
494580.2145,7811.132692307693,66409.03,261238.2745,233341.93999999997,0,7479.6,0.015123128222105618,0,0,0,0.0,0.0,0,27,63,7,0,0.0,3
833326.86,2895.6254166666668,248993.89,576042.9700000001,257283.89,0,62278.72,0.074735044541826,4,58,16,14.5,18.5,0,7,73,0,0,0.0,1
41528.72,6233.392,11000.0,41250.44,278.28,0,0.0,0.0,0,0,0,0.0,0.0,0,2,8,2,0,0.0,2
1367707.999,1000.0,9009.0,1367707.999,0.0,0,71120.84,0.05200001758562501,0,0,0,0.0,0.0,0,2,302,1,0,0.0,0
1993908.771,1841.3631614130434,15250.0,1992597.8577999999,1310.9132,0,1350696.6678,0.6774114680896802,4,122,122,30.5,61.0,0,3,203,0,0,0.0,0
1527.47,,1527.47,0.0,1527.47,0,0.0,0.0,0,0,0,0.0,0.0,0,1,1,0,0,0.0,0
32385.12,15564.55,15564.55,20446.22,11938.9,0,0.0,0.0,0,0,0,0.0,0.0,0,2,4,0,0,0.0,0
126626.6088,4940.468888888889,9124.0,126626.6088,0.0,0,4288.21,0.03386499915490116,1,10,0,10.0,10.0,0,3,20,2,0,0.0,0
1227357.4285,1137.9934130434783,11000.0,1227203.4287999999,153.9997,0,898104.37,0.7317382444147565,13,254,230,19.53846153846154,37.23076923076923,0,7,404,0,0,0.0,0
1763284.6339,879.190977198697,14820.25,1733644.1339,29640.5,0,1614827.82,0.9158066649899591,11,244,9,22.181818181818183,23.0,0,6,313,0,0,0.0,0
689823.4721,550.4766666666666,27950.0,689787.4221000001,36.05,0,18386.96,0.026654587359901463,1,2,0,2.0,2.0,0,4,98,0,0,0.0,0
530488.3572,3568.285714285714,287343.35,236145.0072,294343.35,0,3219.56,0.006069049313340897,0,0,0,0.0,0.0,0,7,27,2,0,0.0,1
451303.65,4407.074680851064,93369.85,267368.42000000004,183935.23,0,0.0,0.0,0,0,0,0.0,0.0,0,7,66,5,0,0.0,3
818669.6859,15415.7675,16980.0,818669.6859,0.0,0,19164.35,0.023409135980076965,0,0,0,0.0,0.0,0,2,74,0,0,0.0,1
390654.22,15910.8,58528.75,256662.41999999998,133991.8,0,0.0,0.0,0,0,0,0.0,0.0,0,10,26,1,0,0.0,3
3100.0,,3100.0,3100.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,1,1,0,0,0.0,0
2764260.956,23147.02,786778.71,1027960.5059999999,1736300.4499999997,0,755.0,0.00027312906126363565,0,0,0,0.0,0.0,0,9,37,5,0,0.0,3
92327.2,6484.290909090909,7800.0,92327.2,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,3,14,2,0,0.0,3
1091394.245,2839.208607594937,8913.6,1091394.245,0.0,0,185059.14,0.1695621365494739,9,156,0,17.333333333333332,17.333333333333332,0,1,176,1,108,108.0,1
